Date,Type,Link
2016-05-19 00:03:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6138686046709248000
2016-05-19 00:03:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6138423268668878848
2016-04-24 19:02:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6127763901267353600
2016-02-18 02:09:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6105472921713590273
2015-11-17 04:08:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6072162525854654464
2015-06-04 00:24:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6011723831490723840
2015-05-31 06:33:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6010421075534442497
2013-12-03 16:27:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5813376251964329984
2013-10-21 23:54:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5797970417415102464
2013-09-02 21:41:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5780277594716913664
2013-08-16 04:17:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5773801628045946880
2013-08-15 22:35:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5773701976063754240
2013-03-15 17:31:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5718298091753312256
2013-02-22 17:41:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5710740154033909760
2013-02-12 19:33:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5706752365349044224
